timestamp,sensor_id,detected,quality,latency_ms
2024-01-15T08:00:00,LIDAR_1,True,0.92,85
2024-01-15T08:00:00,RADAR_1,True,0.88,120
2024-01-15T08:00:00,THERMAL_1,True,0.79,150
2024-01-15T08:01:00,LIDAR_1,True,0.90,90
2024-01-15T08:01:00,RADAR_1,True,0.85,140
2024-01-15T08:01:00,THERMAL_1,True,0.75,170
2024-01-15T08:02:00,LIDAR_1,True,0.88,110
2024-01-15T08:02:00,RADAR_1,False,0.72,280
2024-01-15T08:02:00,THERMAL_1,True,0.68,210
2024-01-15T08:03:00,LIDAR_1,True,0.82,150
2024-01-15T08:03:00,RADAR_1,False,0.65,350
2024-01-15T08:03:00,THERMAL_1,True,0.60,250
